,Date,%,Country,Region,Source,Pct,Network Pct,MWh,Regional Energy Consumption,Fossil Fuel,Pounds CO2 per MWh,Tons of CO2
67,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
68,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
69,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Other renewables,0.14300000000000002,0.0429,2888203.9831851223,123903.95087864174,0,0.0,0.0
70,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
71,2020-01-31 00:00:00+00:00,0.3,China,Xinjiang,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
72,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Coal,0.07700000000000003,0.002310000000000001,2888203.9831851223,6671.751201157635,Coal,2210.0,6688.002138480549
73,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
74,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Hydro,0.846,0.02538,2888203.9831851223,73302.6170932384,0,0.0,0.0
75,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
76,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
77,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Other renewables,0.077,0.00231,2888203.9831851223,6671.751201157633,0,0.0,0.0
78,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
79,2020-01-31 00:00:00+00:00,0.03,China,Yunnan,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
80,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Coal,0.527,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
81,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
82,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Hydro,0.27799999999999997,0.0,2888203.9831851223,0.0,0,0.0,0.0
83,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
84,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
85,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Other renewables,0.195,0.0,2888203.9831851223,0.0,0,0.0,0.0
86,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
87,2020-01-31 00:00:00+00:00,0.0,China,Gansu,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
88,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Coal,0.958,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
89,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
90,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Hydro,0.028000000000000004,0.0,2888203.9831851223,0.0,0,0.0,0.0
91,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
92,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
93,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Other renewables,0.013999999999999999,0.0,2888203.9831851223,0.0,0,0.0,0.0
94,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
95,2020-01-31 00:00:00+00:00,0.0,China,Beijing,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
96,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Coal,0.912,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
97,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
98,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Hydro,0.064,0.0,2888203.9831851223,0.0,0,0.0,0.0
99,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
100,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
101,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Other renewables,0.024,0.0,2888203.9831851223,0.0,0,0.0,0.0
102,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
103,2020-01-31 00:00:00+00:00,0.0,China,Zhejiang,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
104,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Coal,0.24799999999999997,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
105,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
106,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Hydro,0.539,0.0,2888203.9831851223,0.0,0,0.0,0.0
107,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
108,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
109,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Other renewables,0.213,0.0,2888203.9831851223,0.0,0,0.0,0.0
110,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
111,2020-01-31 00:00:00+00:00,0.0,China,Qinghai,Wind,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
112,2020-01-31 00:00:00+00:00,0.0,China,Generic,nan,1.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
113,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Coal,0.001011,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
114,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Gas,0.23928000000000002,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
115,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Hydro,0.7525400000000001,0.0,2888203.9831851223,0.0,0,0.0,0.0
116,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
117,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
118,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Other renewables,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
119,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Solar,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
120,2020-01-31 00:00:00+00:00,0.0,Georgia,Georgia,Wind,0.00716,0.0,2888203.9831851223,0.0,0,0.0,0.0
121,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Coal,0.283987415134956,0.00141993707567478,2888203.9831851223,4101.067917836134,Coal,2210.0,4111.057228840148
122,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Gas,0.149859248219904,0.0007492962410995201,2888203.9831851223,2164.1203881292736,Gas,910.0,893.2789416807532
123,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Hydro,0.0326212949163769,0.0001631064745818845,2888203.9831851223,471.0847695706817,0,0.0,0.0
124,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Nuclear,0.12435833747309101,0.000621791687365455,2888203.9831851223,1795.8612281603055,0,0.0,0.0
125,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Oil,0.0404040404040404,0.00020202020202020202,2888203.9831851223,583.4755521586105,Oil,2130.0,563.7240380915802
126,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Other renewables,0.0834575260804769,0.0004172876304023845,2888203.9831851223,1205.211796262048,0,0.0,0.0
127,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Solar,0.0768339128994868,0.000384169564497434,2888203.9831851223,1109.5600663999826,0,0.0,0.0
128,2020-01-31 00:00:00+00:00,0.005,Germany,Germany,Wind,0.20847822487166698,0.001042391124358335,2888203.9831851223,3010.638197408561,0,0.0,0.0
129,2020-01-31 00:00:00+00:00,0.02,Iceland,Iceland,Coal,0.0,0.0,2888203.9831851223,0.0,Coal,2210.0,0.0
130,2020-01-31 00:00:00+00:00,0.02,Iceland,Iceland,Gas,0.0,0.0,2888203.9831851223,0.0,Gas,910.0,0.0
131,2020-01-31 00:00:00+00:00,0.02,Iceland,Iceland,Hydro,0.7,0.013999999999999999,2888203.9831851223,40434.85576459171,0,0.0,0.0
132,2020-01-31 00:00:00+00:00,0.02,Iceland,Iceland,Nuclear,0.0,0.0,2888203.9831851223,0.0,0,0.0,0.0
133,2020-01-31 00:00:00+00:00,0.02,Iceland,Iceland,Oil,0.0,0.0,2888203.9831851223,0.0,Oil,2130.0,0.0
134,2020-01-31 00:00:00+00:00,0.02,Iceland,Iceland,Other renewables,0.3,0.006,2888203.9831851223,17329.223899110733,0,0.0,0.0
